Nº serie;Etiqueta;Fabricante;Modelo
C02YFFD7JV3N;0030029;APPLE;IMAC 27
8CC9191VX2;0032290;HP;HP 400
41CCKRR;0030331;TOSHIBA;4900-786
SC02Y22EVH7JY;0032642;APPLE;IMAC 21,5
9M9MNY2;0031552;DELL;T440 Dell 5Y T1
9MBMNY2;Servidor;DELL;T440 Dell 5Y T1
9MBNNY2;0031550;DELL;T440 Dell 5Y T1
9M9PNY2;0031549;DELL;T440 Dell 5Y T1
9M9NNY2;0031551;DELL;T440 Dell 5Y T1
CN092815LP;0032786;HP;ZBOOK
8L7S9Z2;0033134;DELL;Rack R440 Dell 5Y T2W
TGQPN9Z2;0033141;DELL;T440 Dell 5Y T1
TGQQL9Z2;0033140;DELL;T440 Dell 5Y T1
8L7R9Z2;0033135;DELL;Rack R440 Dell 5Y T2W
TGQQM9Z2;0033139;DELL;T440 Dell 5Y T1
41CCKRP;0032266;TOSHIBA;4900-789
T1SHYG03;0033607;DELL;R440 Dell 5Y T3P
T1SH4H03;Servidor;DELL;Rack R440 Dell 5Y T2W
T1SH6H03;0033600;DELL;Rack R440 Dell 5Y T2W
T1SJ3H03;0033602;DELL;Rack R440 Dell 5Y T2W
T1SH3H03;0033603;DELL;Rack R440 Dell 5Y T2W
T1SHXG03;0033604;DELL;Rack R440 Dell 5Y T2W
T1SJ2H03;0033606;DELL;R440 Dell 5Y T3P
T1SH5H03;0033605;DELL;Rack R440 Dell 5Y T2W
T1SJ0H03;0033597;DELL;Rack R440 Dell 5Y T2W
T1SHZG03;0033598;DELL;Rack R440 Dell 5Y T2W
T1SJ1H03;0033599;DELL;Rack R440 Dell 5Y T2W
FVFZJ2BNL410;0033806;APPLE;MACBOOK PRO
10.181.0.158.0;10.181.0.158;NUC;NUC
10.206.3.28;0037238;NUC;J1900
8CC9391J29;0034040;HP;PRODESK 400 G4
41CFMDA;0034247;TOSHIBA;4900-786
8CC9391J7G;0034398;HP;PRODESK 400 G4
5T7DT13;0034277;DELL;Rack R440 Dell 5Y T2W
5T67N23;0034278;DELL;Rack R440 Dell 5Y T2W
5CD0013RMC;0034977;HP;PROBOOK 430 G8
C02C41WWJV3Q;0034512;APPLE;IMAC 27
41CCKWC;0030329;TOSHIBA;4900-786
27J1333;0034842;DELL;T440 Dell 5Y T1
27J2333;0034843;DELL;T440 Dell 5Y T1
AK00586626;0037273;Oracle;Exadata X8M
1949NMC02E;0037275;Oracle;SUN T8-1
10.181.0.178;Servidor;NUC;J1900
8CC92606TJ;0034950;HP;PRODESK 400 G8
5CG0110LJC;0037478;HP;PAVILION 14-CK0006LA
5CD015D4MW;0038060;HP;PROBOOK 430 G7
JJ9KQ53;0037904;DELL;R440 Dell 5Y T3P
JJ9K853;0055926;DELL;R440 Dell 5Y T3P
1013R53;0037902;DELL;T440 Dell 5Y T1
1012R53;0037903;DELL;T440 Dell 5Y T1
5CG02663V4;0037790;HP;14" CF3036LA CI3 NG
5CG02663W7;0037787;HP;14" CF3036LA CI3 NG
5CG0348NXF;0033291;HP;HP 245G7 Proc. RYZEN 5
SC02DT9GSMD6N;0038358;APPLE;MACBOOK PRO
5CG026640M;0051753;HP;14" CF3036LA CI3 NG
5CD0402SP1;0038343;HP;PROBOOK 430 G7
SC02F2BQCMD6N;0037763;APPLE;PRO MVVK2E/A
SC02DLC76P3XY;0033306;APPLE;PRO MXK32E/A
CNC0430W7M;0039120;LENOVO;THINKPAD P15
5RWVZB3;0039031;DELL;R440 Dell 5Y T3P
5RX10C3;0039027;DELL;R440 Dell 5Y T3P
5RX00C3;0039028;DELL;R440 Dell 5Y T3P
5RWTZB3;0052827;DELL;R440 Dell 5Y T3P
5RWXZB3;0039026;DELL;R440 Dell 5Y T3P
5RWYZB3;0039029;DELL;R440 Dell 5Y T3P
5RWZZB3;0039024;DELL;R440 Dell 5Y T3P
5RWWZB3;0049756;DELL;R440 Dell 5Y T3P
5J4WZB3;0039033;DELL;T440 Dell 5Y T1
5J4XZB3;0039032;DELL;T440 Dell 5Y T1
SC02FGK2RQ05D;0039690;APPLE;MAC BOOK PRO RETINA
FHXWTD3;0039932;DELL;T440 Dell 5Y T1
FJ2RTD3;0039923;DELL;POWEREDGE R440
FJ1ZTD3;0039924;DELL;POWEREDGE R440
FJ1XTD3;0039928;DELL;POWEREDGE R440
FJ1YTD3;0039925;DELL;POWEREDGE R440
FJ20VD3;0039926;DELL;POWEREDGE R440
41FNB03;0039336;TOSHIBA;4900-786
41FPX84;0039346;TOSHIBA;4900-786
41FNG04;0039359;TOSHIBA;4900-786
FJ21VD3;0039930;DELL;Rack R440 Dell 5Y T2W
G5KVTD3;0039931;DELL;Rack R440 Dell 5Y T2W
G5KTTD3;0039929;DELL;R440 Dell 5Y T2W
FJ1WTD3;0039927;DELL;Rack R440 Dell 5Y T2W
2SDTDF3;0039507;DELL;T440 Dell 5Y T1
2SDVDF3;0039505;DELL;T440 Dell 5Y T1
2SD3FF3;0039506;DELL;T440 Dell 5Y T1
KT720020221010;0039573;NUC;J1900
2M282106DX;0039986;HP;ML30 GEN9
2M210901YK;0039984;HP;ML30 G10
SC02FT4W3Q05D;0038456;APPLE;MAC BOOK PRO RETINA
SC02FX3FKQ05F;0038454;APPLE;MAC BOOK PRO RETINA
9HGR1G3;0040032;DELL;POWEREDGE T440
9HGS1G3;0040031;DELL;POWEREDGE T440
687Q1G3;0040034;DELL;POWEREDGE E45S
J6V6PF3;0040279;DELL;R740XD NASS
68CM1G3;0040033;DELL;POWEREDGE R440
4LGSMH3;0040320;DELL;T440 Dell 5Y T1
4P1PMH3;Servidor;DELL;T440 Dell 5Y T1
4LGNMH3;0040315;DELL;T440 Dell 5Y T1
4LJQMH3;0040311;DELL;T440 Dell 5Y T1
4LHWMH3;0040316;DELL;T440 Dell 5Y T1
4LHVMH3;0040312;DELL;T440 Dell 5Y T1
4LJMMH3;0040313;DELL;T440 Dell 5Y T1
4LGQMH3;0040321;DELL;T440 Dell 5Y T1
4LJPMH3;0040318;DELL;T440 Dell 5Y T1
4LGLMH3;0040314;DELL;T440 Dell 5Y T1
4LHPMH3;0040317;DELL;T440 Dell 5Y T1
4LHTMH3;0040319;DELL;T440 Dell 5Y T1
4L5WMH3;0040323;DELL;T440 Dell 5Y T1
4L7SMH3;0040324;DELL;T440 Dell 5Y T1
4L7TMH3;0040322;DELL;T440 Dell 5Y T1
5CG1082X9H;0039011;HP;dk1009la R3 Ng
5CG1082XB4;0039013;HP;dk1009la R3 Ng
5CG1082XJ1;0039019;HP;dk1009la R3 Ng
6XPW4K3;0040526;DELL;T440 Dell 5Y T2
9XPW4K3;0040525;DELL;T440 Dell 5Y T2
H16XTH3;0040530;DELL;Rack R440 Dell 5Y T2W
H26XTH3;0040529;DELL;Rack R440 Dell 5Y T2W
